PAN_PRI_PRD,MORENA_PVEM_PT,PART
0.322580645,0.449462366,0.609436435
0.327651515,0.445075758,0.539325843
0.23613963,0.554414784,0.53693495
0.306451613,0.447580645,0.565564424
0.381706064,0.416443988,0.610873933
0.243194192,0.499092559,0.401896426
0.240650407,0.525203252,0.491214058
0.281152648,0.470404984,0.584965831
0.307987711,0.449308756,0.572056239
0.263922518,0.535108959,0.592539455
0.319194824,0.464414091,0.632272727
0.280151947,0.452991453,0.551597695
0.277777778,0.475555556,0.517241379
0.416901408,0.397183099,0.652573529
0.359190556,0.441821248,0.62289916
0.325657895,0.460526316,0.560368664
0.307692308,0.49122807,0.604404568
0.352553542,0.431630972,0.605184447
0.298788694,0.468371467,0.627004219
0.368961973,0.423432682,0.623717949
0.348066298,0.458563536,0.613039797
0.298120544,0.502916397,0.478598015
0.39379085,0.397603486,0.658536585
0.328193833,0.431718062,0.58056266
0.41255144,0.368312757,0.621086262
0.435820896,0.372139303,0.644230769
0.243958573,0.533947066,0.541433022
0.555813354,0.286671823,0.710179421
0.19054242,0.57162726,0.458838545
0.333333333,0.425333333,0.588235294
0.320717131,0.465139442,0.553778268
0.285861713,0.529411765,0.626373626
0.254087494,0.516570924,0.474722047
0.318230277,0.451492537,0.445923461
0.261135371,0.540611354,0.487856839
0.474358974,0.418803419,0.57635468
0.503588517,0.375598086,0.543916721
0.268817204,0.513978495,0.481117434
0.378,0.472,0.574052813
0.433646813,0.356321839,0.575639098
0.276011561,0.51734104,0.488011283
0.184750733,0.596774194,0.512781955
0.22080292,0.531021898,0.483671668
0.221698113,0.503144654,0.466960352
0.276632302,0.503436426,0.589665653
0.242971888,0.475903614,0.533762058
0.227672956,0.535849057,0.48953202
0.210434783,0.51826087,0.486052409
0.223826715,0.523465704,0.575285566
0.257903494,0.495840266,0.579556413
0.266570605,0.481268012,0.544740973
0.244725738,0.529535865,0.543577982
0.277777778,0.519005848,0.550724638
0.287284144,0.43956044,0.567230632
0.278969957,0.480686695,0.563482467
0.278832117,0.499270073,0.54756195
0.255144033,0.528806584,0.547914318
0.226120858,0.563352827,0.497093023
0.194235589,0.605263158,0.454183267
0.265780731,0.511627907,0.587890625
0.2593361,0.53526971,0.61715749
0.238095238,0.511904762,0.471028037
0.189944134,0.603351955,0.46373057
0.42014742,0.366093366,0.587584216
0.436521739,0.380289855,0.662696888
0.636924537,0.208353109,0.719358143
0.336842105,0.41754386,0.585817061
0.309739867,0.459165154,0.59804631
0.294369209,0.481824661,0.493666432
0.298382265,0.476932295,0.548832621
0.217588395,0.531278332,0.441730076
